/QB1 (VDDL=0.4) X,/QB1 (VDDL=0.4) Y,/QB1 (VDDL=0.425) X,/QB1 (VDDL=0.425) Y,/QB1 (VDDL=0.45) X,/QB1 (VDDL=0.45) Y,/QB1 (VDDL=0.475) X,/QB1 (VDDL=0.475) Y,/QB1 (VDDL=0.5) X,/QB1 (VDDL=0.5) Y,/QB1 (VDDL=0.525) X,/QB1 (VDDL=0.525) Y,/QB1 (VDDL=0.55) X,/QB1 (VDDL=0.55) Y,/QB1 (VDDL=0.575) X,/QB1 (VDDL=0.575) Y,/QB1 (VDDL=0.6) X,/QB1 (VDDL=0.6) Y,/QB1 (VDDL=0.625) X,/QB1 (VDDL=0.625) Y,/QB1 (VDDL=0.65) X,/QB1 (VDDL=0.65) Y,/QB1 (VDDL=0.675) X,/QB1 (VDDL=0.675) Y,/QB1 (VDDL=0.7) X,/QB1 (VDDL=0.7) Y,/QB1 (VDDL=0.725) X,/QB1 (VDDL=0.725) Y,/QB1 (VDDL=0.75) X,/QB1 (VDDL=0.75) Y,/QB1 (VDDL=0.775) X,/QB1 (VDDL=0.775) Y,/QB1 (VDDL=0.8) X,/QB1 (VDDL=0.8) Y,/QB1 (VDDL=0.825) X,/QB1 (VDDL=0.825) Y,/QB1 (VDDL=0.85) X,/QB1 (VDDL=0.85) Y,/QB1 (VDDL=0.875) X,/QB1 (VDDL=0.875) Y,/QB1 (VDDL=0.9) X,/QB1 (VDDL=0.9) Y
0,0.399702830037047,0,0.4248239986161347,0,0.449891794478689,0,0.4749307413036483,0,0.4999535268699601,0,0.5249671782360175,0,0.5499755849668785,0,0.5749809364550381,0,0.5999844121290815,0,0.6249867737268798,0,0.649988393585893,0,0.6749895414268355,0,0.6999903621971943,0,0.7249909508265221,0,0.7499913650506278,0,0.7749916497797831,0,0.7999918367118801,0,0.8249919617361395,0,0.8499919846743641,0,0.8749919697476334,0,0.8999919064527678
0.018,0.3992561906747784,0.018,0.4245683303141998,0.018,0.4497420094065595,0.018,0.4748400856048591,0.018,0.4998964834532023,0.018,0.5249296302532939,0.018,0.5499496149554737,0.018,0.5749620159032276,0.018,0.599969952540136,0.018,0.6249751921328812,0.018,0.6499787521887084,0.018,0.6749812306935576,0.018,0.6999829879254043,0.018,0.7249842470736745,0.018,0.7499851504580715,0.018,0.774985791422436,0.018,0.7999862328039237,0.018,0.8249865178899064,0.018,0.8499866770911552,0.018,0.8749867321152484,0.018,0.8999866986438191
0.036,0.3981109668711398,0.036,0.4239259313678284,0.036,0.4493734068902265,0.036,0.4746226101773698,0.036,0.4997637037908669,0.036,0.5248451784029319,0.036,0.5498933337111681,0.036,0.5749225696320722,0.036,0.5999408570789331,0.036,0.6249526620023088,0.036,0.6499605219691095,0.036,0.674965904400971,0.036,0.6999696768159953,0.036,0.7249723656344176,0.036,0.7499742995331137,0.036,0.7749756897772389,0.036,0.799976675996223,0.036,0.8249773528560701,0.036,0.8499777859931977,0.036,0.8749780217898542,0.036,0.8999780935318911
0.05400000000000001,0.3950988436532586,0.05400000000000001,0.4222820279331898,0.05400000000000001,0.4484506466347593,0.05400000000000001,0.4740911434123326,0.05400000000000001,0.4994481012658323,0.05400000000000001,0.5246507538637187,0.05400000000000001,0.5497682942404746,0.05400000000000001,0.5748381798536411,0.05400000000000001,0.5998809182966897,0.05400000000000001,0.624907873606642,0.05400000000000001,0.6499254257108562,0.05400000000000001,0.6749372115079161,0.05400000000000001,0.6999453442738538,0.05400000000000001,0.7249510812715999,0.05400000000000001,0.749955191108674,0.05400000000000001,0.7749581575128766,0.05400000000000001,0.7999602938890494,0.05400000000000001,0.8249618089443205,0.05400000000000001,0.8499628451656439,0.05400000000000001,0.8749635019710924,0.05400000000000001,0.8999638500175338
0.07200000000000001,0.3867706509359466,0.07200000000000001,0.4179243656778407,0.07200000000000001,0.4460909229428211,0.07200000000000001,0.4727668094157896,0.07200000000000001,0.4986826023639218,0.07200000000000001,0.524193137106204,0.07200000000000001,0.5494837518309785,0.07200000000000001,0.5746530823738005,0.07200000000000001,0.5997543858135308,0.07200000000000001,0.6248168068851853,0.07200000000000001,0.6498565104116936,0.07200000000000001,0.6748825904330737,0.07200000000000001,0.6999002494162002,0.07200000000000001,0.724912526097251,0.07200000000000001,0.7499212404239183,0.07200000000000001,0.774927513519702,0.07200000000000001,0.7999320566469273,0.07200000000000001,0.8249353342757449,0.07200000000000001,0.8499376580166991,0.07200000000000001,0.8749392420624428,0.07200000000000001,0.8999402367875209
0.09000000000000001,0.3590578806755031,0.09000000000000001,0.405438328408435,0.09000000000000001,0.4397469605029332,0.09000000000000001,0.4693582507145386,0.09000000000000001,0.4967827273910742,0.09000000000000001,0.5230915907015857,0.09000000000000001,0.5488208619262657,0.09000000000000001,0.5742369802698071,0.09000000000000001,0.5994805500427219,0.09000000000000001,0.624627196983857,0.09000000000000001,0.6497182600296961,0.09000000000000001,0.6747766802541375,0.09000000000000001,0.699815390623721,0.09000000000000001,0.7248418178234802,0.09000000000000001,0.7498603238133892,0.09000000000000001,0.7748735392285183,0.09000000000000001,0.7998830972321822,0.09000000000000001,0.824890042264976,0.09000000000000001,0.8498950616973825,0.09000000000000001,0.8748986200482282,0.09000000000000001,0.899901038746422
0.108,0.2668904608590336,0.108,0.3578215282800031,0.108,0.420371354229982,0.108,0.4600306034900452,0.108,0.4918578675939553,0.108,0.5203550575566419,0.108,0.5472370629086862,0.108,0.5732778578422321,0.108,0.5988727885882691,0.108,0.6242225627760419,0.108,0.649434505717566,0.108,0.6745671517370032,0.108,0.6996529842552062,0.108,0.7247103514507471,0.108,0.7497498313678309,0.108,0.7747776728622164,0.108,0.7997976714346617,0.108,0.8248122019252951,0.108,0.849822795201747,0.108,0.8748304664905781,0.108,0.89983590676616
0.126,0.1530407204998977,0.126,0.2483698895485255,0.126,0.3449779706705762,0.126,0.4280637986778842,0.126,0.4778251945268571,0.126,0.5131980629212837,0.126,0.543298613387176,0.126,0.571002144170394,0.126,0.5974870369538557,0.126,0.6233364161595801,0.126,0.6488377757187097,0.126,0.6741434862537252,0.126,0.6993363188353735,0.126,0.7244621661111156,0.126,0.7495469933765462,0.126,0.7746058297660023,0.126,0.7996476060350681,0.126,0.824677785704886,0.126,0.8496998139811163,0.126,0.8747159291175293,0.126,0.8997276265718365
0.144,0.05624749315913852,0.144,0.1324301029218042,0.144,0.2279903731438568,0.144,0.3271179014033981,0.144,0.4228342944891103,0.144,0.4912080324638412,0.144,0.5327493564961107,0.144,0.5653120928590863,0.144,0.5942051094514497,0.144,0.6213377486222103,0.144,0.6475489107063608,0.144,0.6732660822658272,0.144,0.6987059893352064,0.144,0.7239855923983561,0.144,0.7491695965490073,0.144,0.7742946508551498,0.144,0.7993820492928516,0.144,0.8244445194470837,0.144,0.8494899030165102,0.144,0.8745231826740153,0.144,0.8995476202047543
0.162,0.01973651107417914,0.162,0.044832053919969,0.162,0.1113552642084742,0.162,0.2061787844430983,0.162,0.3067815710916961,0.162,0.407204628112206,0.162,0.49586959491943,0.162,0.5493768855313496,0.162,0.5859368812945998,0.162,0.6166133887899029,0.162,0.6446721123801213,0.162,0.6713976963349747,0.162,0.6974213144174629,0.162,0.7230525016813593,0.162,0.748456585761598,0.162,0.77372464599896,0.162,0.7989082766443488,0.162,0.8240375555793114,0.162,0.8491305606984491,0.162,0.8741985064296021,0.162,0.8992485709269477
0.18,0.007895971155221828,0.18,0.0161576102018932,0.18,0.03589115274408297,0.18,0.09057780060110029,0.18,0.183210973211618,0.18,0.2845970923141381,0.18,0.3875291530906152,0.18,0.4866867716851889,0.18,0.5607333287987363,0.18,0.6044214524363843,0.18,0.6378535052818649,0.18,0.6672496728739211,0.18,0.6947243819974216,0.18,0.721182092427975,0.18,0.7470846672977789,0.18,0.7726662705680856,0.18,0.7980549898467828,0.18,0.8233232821857727,0.18,0.8485134927124152,0.18,0.873651199069906,0.18,0.89875236890861
